CellID,ClusterID,ClusterName
1,-1,NA
2,-1,NA
3,0,eL4
4,3,VIP
5,-1,NA
6,2,Smc
7,6,Smc
8,2,eL5
9,1,eL4
10,-1,NA
11,3,PV
12,1,eL6
13,11,Endo
14,3,eL4
15,-1,NA
16,6,eL5
17,1,eL4
18,2,eL6
19,3,eL2/3
20,2,Smc
21,5,eL5
22,7,Smc
23,0,PV
24,1,Astro
25,3,eL2/3
26,3,Astro
27,6,eL4
28,7,eL6
29,0,eL2/3
30,1,eL2/3
31,1,eL2/3
32,1,eL5
33,1,Astro
34,0,eL5
35,1,eL6
36,1,eL4
37,0,eL5
38,3,Astro
39,-1,NA
40,5,eL4
41,5,Smc
42,4,eL4
43,3,Smc
44,1,Smc
45,3,eL2/3
46,0,eL4
47,1,eL5
48,2,eL6
49,2,eL4
50,2,PV
51,1,Smc
52,11,eL2/3
53,2,Astro
54,10,Smc
55,3,eL2/3
56,-1,NA
57,0,eL6
58,1,eL4
59,1,eL5
60,2,eL2/3
61,2,eL4
62,0,Endo
63,1,eL2/3
64,0,PV
65,-1,NA
66,1,eL4
67,0,Smc
68,3,Astro
69,8,eL5
70,0,Smc
71,3,eL6
72,0,eL6
73,1,PV
74,-1,NA
75,6,eL4
76,2,eL5
77,2,Endo
78,1,eL2/3
79,-1,NA
80,1,eL4
81,2,NPY
82,5,eL2/3
83,-1,NA
84,1,eL4
85,6,eL5
86,3,VIP
87,3,Smc
88,3,eL4
89,7,eL4
90,4,Oligo
91,1,eL2/3
92,1,eL4
93,3,eL4
94,2,Endo
95,3,eL6
96,1,eL6
97,6,eL4
98,4,eL6
99,1,eL2/3
100,-1,NA
101,0,eL4
102,6,eL6
103,0,eL2/3
104,2,eL4
105,7,PV
106,0,eL4
107,-1,NA
108,1,eL4
109,9,eL4
110,1,eL5
111,7,eL6
112,-1,NA
113,2,Smc
114,3,Astro
115,3,VIP
116,7,eL6
117,3,eL2/3
118,1,eL4
119,5,eL4
120,1,Smc
121,3,eL5
122,5,eL4
123,6,eL4
124,0,eL4
125,0,eL6
126,1,eL2/3
127,9,eL6
128,-1,NA
129,3,eL4
130,-1,NA
131,7,Smc
132,-1,NA
133,3,eL2/3
134,2,eL2/3
135,5,VIP
136,1,VIP
137,11,Oligo
138,4,eL2/3
139,2,VIP
140,-1,NA
141,3,Endo
142,4,eL4
143,7,eL4
144,-1,NA
145,7,eL4
146,5,Smc
147,7,eL6
148,7,eL2/3
149,1,eL4
150,1,Astro
151,3,eL2/3
152,0,eL6
153,0,eL2/3
154,0,eL5
155,2,eL2/3
156,1,eL2/3
157,1,eL4
158,3,eL4
159,4,Smc
160,2,Smc
161,3,eL5
162,6,eL6
163,0,VIP
164,1,PV
165,3,VIP
166,-1,NA
167,1,SST
168,2,eL6
169,1,Smc
170,0,eL4
171,2,SST
172,-1,NA
173,6,eL4
174,-1,NA
175,3,eL5
176,4,eL6
177,3,eL6
178,5,eL4
179,-1,NA
180,1,PV
181,1,eL5
182,7,SST
183,0,eL5
184,1,SST
185,0,eL6
186,3,eL2/3
187,1,eL4
188,0,Endo
189,0,eL2/3
190,2,eL2/3
191,0,Oligo
192,2,PV
193,3,eL5
194,-1,NA
195,7,SST
196,2,eL6
197,2,eL6
198,2,Smc
199,4,eL6
200,8,eL2/3
201,1,eL4
202,5,Oligo
203,5,eL2/3
204,1,eL6
205,1,eL4
206,0,eL5
207,7,eL4
208,7,eL4
209,3,eL6
210,3,eL2/3
211,2,eL4
212,0,PV
213,0,eL4
214,2,Smc
215,0,PV
216,9,eL6
217,0,eL4
218,1,eL6
219,-1,NA
220,0,PV
221,3,eL6
222,0,eL2/3
223,7,eL4
224,2,eL6
225,-1,NA
226,-1,NA
227,4,Oligo
228,8,Smc
229,0,eL2/3
230,-1,NA
231,0,Endo
232,7,PV
233,-1,NA
234,-1,NA
235,1,eL6
236,-1,NA
237,3,eL4
238,2,PV
239,2,eL2/3
240,-1,NA
241,1,eL2/3
242,7,eL2/3
243,3,Astro
244,7,eL6
245,2,PV
246,-1,NA
247,-1,NA
248,3,Smc
249,5,Endo
250,-1,NA
251,-1,NA
252,3,eL5
253,0,Smc
254,7,eL2/3
255,-1,NA
256,-1,NA
257,3,eL4
258,0,eL4
259,0,Astro
260,10,eL2/3
261,1,PV
262,3,eL6
263,5,Endo
264,3,eL4
265,1,eL6
266,1,eL4
267,0,eL4
268,2,eL2/3
269,-1,NA
270,0,eL2/3
271,-1,NA
272,-1,NA
273,1,eL4
274,2,eL2/3
275,0,eL6
276,6,eL6
277,2,eL2/3
278,3,PV
279,1,eL2/3
280,-1,NA
281,1,eL4
282,-1,NA
283,-1,NA
284,11,eL2/3
285,3,Endo
286,9,eL6
287,0,eL4
288,3,eL4
289,4,eL6
290,0,eL5
291,0,Endo
292,-1,NA
293,-1,NA
294,0,eL2/3
295,4,eL5
296,0,eL4
297,2,eL6
298,-1,NA
299,-1,NA
300,-1,NA
301,-1,NA
302,3,eL4
303,1,eL2/3
304,3,eL5
305,2,eL4
306,0,eL4
307,9,eL4
308,3,eL5
309,-1,NA
310,1,eL2/3
311,2,eL2/3
312,-1,NA
313,3,Endo
314,-1,NA
315,-1,NA
316,0,eL2/3
317,0,eL4
318,1,Astro
319,3,eL2/3
320,-1,NA
321,5,PV
322,-1,NA
323,3,NPY
324,-1,NA
325,3,eL5
326,-1,NA
327,1,eL2/3
328,1,eL2/3
329,-1,NA
330,6,eL4
331,7,eL6
332,2,eL2/3
333,9,eL4
334,3,eL4
335,9,eL6
336,-1,NA
337,-1,NA
338,-1,NA
339,1,eL5
340,-1,NA
341,6,eL5
342,1,eL2/3
343,3,eL4
344,1,eL4
345,3,PV
346,3,eL4
347,3,SST
348,1,eL4
349,7,eL6
350,3,eL6
351,-1,NA
352,0,eL5
353,-1,NA
354,-1,NA
355,6,eL4
356,3,Smc
357,-1,NA
358,6,eL2/3
359,2,eL4
360,-1,NA
361,4,VIP
362,0,NPY
363,2,eL6
364,3,eL6
365,-1,NA
366,6,eL2/3
367,1,SST
368,1,eL2/3
369,0,Endo
370,-1,NA
371,6,eL6
372,0,eL4
373,-1,NA
374,2,NPY
375,-1,NA
376,4,eL4
377,-1,NA
378,11,eL4
379,0,eL4
380,2,eL4
381,5,eL6
382,10,VIP
383,5,eL6
384,1,Astro
385,-1,NA
386,-1,NA
387,9,eL5
388,-1,NA
389,0,eL4
390,-1,NA
391,8,eL5
392,6,eL2/3
393,1,eL2/3
394,7,VIP
395,3,Endo
396,2,PV
397,1,eL6
398,-1,NA
399,-1,NA
400,2,VIP
401,3,eL4
402,2,eL4
403,0,eL6
404,-1,NA
405,6,eL4
406,1,PV
407,-1,NA
408,10,eL4
409,-1,NA
410,0,VIP
411,1,PV
412,-1,NA
413,4,eL6
414,-1,NA
415,1,eL2/3
416,-1,NA
417,6,eL6
418,-1,NA
419,3,SST
420,0,eL4
421,1,eL4
422,-1,NA
423,9,eL2/3
424,3,eL6
425,0,PV
426,1,eL2/3
427,1,eL2/3
428,3,VIP
429,6,eL5
430,7,Oligo
431,6,eL5
432,-1,NA
433,3,eL4
434,-1,NA
435,0,SST
436,0,eL2/3
437,-1,NA
438,2,eL6
439,-1,NA
440,6,eL4
441,9,eL4
442,2,eL4
443,1,NPY
444,-1,NA
445,-1,NA
446,3,SST
447,-1,NA
448,-1,NA
449,0,eL5
450,0,eL4
451,2,Astro
452,0,Endo
453,2,eL6
454,0,eL4
455,-1,NA
456,-1,NA
457,5,SST
458,2,eL4
459,4,eL4
460,0,eL5
461,5,Smc
462,6,eL4
463,2,eL2/3
464,-1,NA
465,0,eL2/3
466,6,eL5
467,-1,NA
468,1,eL6
469,7,eL4
470,10,eL4
471,0,eL2/3
472,-1,NA
473,2,eL6
474,3,Astro
475,5,SST
476,1,eL4
477,-1,NA
478,3,Astro
479,9,eL2/3
480,2,eL2/3
481,3,VIP
482,0,Astro
483,-1,NA
484,0,eL5
485,1,eL2/3
486,0,eL4
487,3,eL4
488,6,Oligo
489,6,eL5
490,3,Astro
491,-1,NA
492,3,eL5
493,3,Astro
494,0,Astro
495,3,eL2/3
496,11,eL6
497,0,SST
498,2,eL6
499,3,NPY
500,-1,NA
501,11,eL5
502,11,eL6
503,-1,NA
504,7,eL6
505,3,eL2/3
506,3,eL5
507,0,SST
508,7,eL2/3
509,3,eL4
510,5,eL5
511,3,eL4
512,2,eL4
513,3,Oligo
514,3,NPY
515,11,eL5
516,-1,NA
517,6,eL6
518,-1,NA
519,9,SST
520,4,eL2/3
521,1,eL4
522,-1,NA
523,10,eL4
524,-1,NA
525,1,eL2/3
526,1,eL2/3
527,0,eL6
528,6,eL5
529,7,eL5
530,2,eL6
531,3,eL5
532,2,eL2/3
533,-1,NA
534,2,eL5
535,-1,NA
536,0,eL4
537,2,eL2/3
538,-1,NA
539,1,eL4
540,3,eL5
541,-1,NA
542,0,eL6
543,11,eL4
544,1,eL2/3
545,1,eL6
546,1,eL4
547,2,eL5
548,0,eL2/3
549,1,eL6
550,-1,NA
551,-1,NA
552,-1,NA
553,-1,NA
554,2,Smc
555,4,Smc
556,9,eL2/3
557,3,Endo
558,-1,NA
559,-1,NA
560,2,eL6
561,11,eL4
562,-1,NA
563,8,eL2/3
564,7,eL6
565,-1,NA
566,4,eL2/3
567,-1,NA
568,1,eL5
569,0,eL4
570,-1,NA
571,1,eL6
572,7,eL4
573,0,PV
574,0,eL5
575,11,Endo
576,-1,NA
577,-1,NA
578,3,eL2/3
579,7,eL4
580,-1,NA
581,-1,NA
582,1,SST
583,-1,NA
584,-1,NA
585,-1,NA
586,2,eL4
587,1,eL4
588,4,eL2/3
589,-1,NA
590,3,eL5
591,-1,NA
592,3,eL4
593,3,eL4
594,-1,NA
595,0,SST
596,-1,NA
597,4,eL5
598,0,eL6
599,3,eL5
600,0,PV
601,-1,NA
602,2,eL6
603,3,eL2/3
604,0,Endo
605,0,eL2/3
606,-1,NA
607,0,NPY
608,-1,NA
609,1,Smc
610,-1,NA
611,2,eL4
612,2,eL6
613,6,SST
614,1,eL4
615,5,eL4
616,3,eL4
617,0,eL2/3
618,0,Astro
619,3,eL4
620,-1,NA
621,3,PV
622,-1,NA
623,1,Endo
624,-1,NA
625,7,eL2/3
626,2,eL4
627,1,eL6
628,9,Endo
629,11,eL6
630,-1,NA
631,-1,NA
632,3,eL5
633,3,eL4
634,-1,NA
635,-1,NA
636,-1,NA
637,4,eL4
638,0,eL4
639,3,eL4
640,3,eL4
641,5,eL5
642,-1,NA
643,1,eL4
644,1,eL2/3
645,1,Astro
646,1,eL2/3
647,3,Astro
648,-1,NA
649,-1,NA
650,-1,NA
651,-1,NA
652,3,PV
653,-1,NA
654,0,eL4
655,0,PV
656,0,eL2/3
657,0,eL5
658,-1,NA
659,4,NPY
660,6,eL4
661,8,eL4
662,-1,NA
663,7,eL2/3
664,7,eL6
665,-1,NA
666,-1,NA
667,-1,NA
668,0,Endo
669,-1,NA
670,7,eL5
671,-1,NA
